model,Store,MAE,RMSE,sMAPE,WAPE
lstm_exog,1,558568.7463304845,568153.4853806804,41.991264984789986,0.3486675785325039
lstm_exog,2,868861.2335099715,874211.0798454377,58.64395226712639,0.45435358760556316
lstm_exog,3,619248.729054131,619729.7969850401,84.46465412116552,1.4598314098675675
lstm_exog,4,1132147.228125356,1135902.6436646478,70.23798824658887,0.520386800087525
lstm_exog,5,710573.8382849003,710850.3102920655,103.32007064931538,2.1347090072686963
lstm_exog,6,518959.2658176639,530493.9050703425,39.55219122944788,0.33215520026580636
lstm_exog,7,455196.50956695154,462591.68798027956,56.442195683764545,0.7738223937680972
lstm_exog,8,124474.63733654759,131131.9483117358,12.77169877182977,0.13502751624807907
lstm_exog,9,478904.82905413106,480232.18464479694,59.69122828923735,0.8483160653336428
lstm_exog,10,790551.2076125356,802093.7390590394,54.64182373981725,0.43105491052314704
lstm_exog,11,322340.4617150997,334927.34228872607,26.516556409541316,0.23601179767220598
lstm_exog,12,68535.53908232886,83172.69791664812,6.67495036715882,0.06719267135449876
lstm_exog,13,995050.3565868947,998945.0897946699,64.46406243387007,0.488130847924208
lstm_exog,14,764290.8473561252,790687.8291442391,52.882541908628504,0.4227900200697956
lstm_exog,15,456299.8521310542,458451.4006901961,56.153522198733555,0.7771557231264923
lstm_exog,16,528030.4659772081,530507.1678757234,68.03468635558198,1.0244858463109259
lstm_exog,17,120477.70587537438,132148.5139387269,12.292944735131792,0.1282555763042434
lstm_exog,18,47931.368866389086,61791.05520264436,4.532347993378175,0.04527516382534057
lstm_exog,19,347506.4050484331,357887.23036067,28.343242236369008,0.24983438234042118
lstm_exog,20,1066756.8706894587,1075682.9959724161,67.40932968421494,0.5055246471998207
lstm_exog,21,332720.50520797714,336172.2889753517,38.11213762247268,0.46814557758752395
lstm_exog,22,61099.700722624,71049.5307412918,6.00777524251497,0.060754840994118466
lstm_exog,23,351466.9217150998,369786.7173070595,28.458581406280864,0.25196430365906464
lstm_exog,24,304506.39556125365,320371.8278459759,25.170605269178438,0.22590382205433118
lstm_exog,25,349722.13572079776,352101.45415441593,40.39547704464,0.5041268396888233
lstm_exog,26,63820.79624954341,78776.26520584058,6.313413950339577,0.06299735678140407
lstm_exog,27,651090.1868433048,661442.8866768362,47.292084470842454,0.3842303500238504
lstm_exog,28,249871.67581766396,292373.9503192937,20.66488879015856,0.19320288352792112
lstm_exog,29,518132.9626438747,519645.4277799642,66.22559317498033,0.9863418121111228
lstm_exog,30,607035.6246951568,607149.1573501175,82.05807667112349,1.3909912862874558
lstm_exog,31,353309.14889458695,357960.0477667236,28.863889170001592,0.252950916770252
lstm_exog,32,135474.80402279206,142904.5026786941,12.113841604967867,0.11491477229088219
lstm_exog,33,776588.7270028489,776802.0825954654,118.5978215717609,2.910185695660273
lstm_exog,34,73578.91058031995,78950.83529035444,7.33057296061411,0.07534029963636125
lstm_exog,35,205432.82315669514,214396.11898516087,22.070747344866238,0.24514426956345345
lstm_exog,36,735782.8762336182,736017.3320113176,108.97476768361265,2.3915625575141464
lstm_exog,37,519076.59802848997,519350.78357470926,66.24789565510935,0.9899163941542555
lstm_exog,38,609819.3636695156,610419.5698213066,82.66549179594047,1.4063408446008177
lstm_exog,39,503299.2440227921,511418.815415825,38.667520211946034,0.3253935825051243
lstm_exog,40,91213.27390138066,104163.43293822311,9.19989970340702,0.09397046306530403
lstm_exog,41,298846.1691509972,311363.98775860464,24.819493330404597,0.22263957220797498
lstm_exog,42,465718.6080284899,468141.64467438194,57.67583142323383,0.8061291635647378
lstm_exog,43,416932.97700284893,417828.23403511,50.00057722538975,0.6654873949250532
lstm_exog,44,712044.7757207977,712176.5522428486,103.61267960086366,2.148622760622814
lstm_exog,45,273992.99110541306,277713.4743660425,30.368819354238376,0.3560904740094838
